iter	Passed	Remaining
1623	2678	7217
1624	2680	7215
1625	2681	7213
1626	2683	7212
1627	2684	7210
1628	2686	7208
1629	2687	7206
1630	2689	7204
1631	2691	7202
1632	2692	7200
1633	2694	7198
1634	2695	7196
1635	2697	7195
1636	2699	7193
1637	2700	7191
1638	2702	7189
1639	2703	7187
1640	2705	7186
1641	2706	7184
1642	2708	7182
1643	2709	7180
1644	2711	7178
1645	2713	7176
1646	2714	7174
1647	2716	7172
1648	2717	7170
1649	2719	7168
1650	2720	7167
1651	2722	7165
1652	2723	7163
1653	2725	7161
1654	2727	7160
1655	2728	7158
1656	2730	7156
1657	2732	7154
1658	2733	7152
1659	2735	7150
1660	2736	7148
1661	2738	7147
1662	2739	7145
1663	2741	7143
1664	2743	7142
1665	2745	7141
1666	2746	7139
1667	2748	7137
1668	2749	7136
1669	2751	7134
1670	2753	7132
1671	2754	7130
1672	2756	7129
1673	2758	7127
1674	2759	7126
1675	2761	7124
1676	2763	7122
1677	2764	7120
1678	2766	7118
1679	2767	7117
1680	2769	7115
1681	2771	7113
1682	2772	7111
1683	2774	7110
1684	2775	7108
1685	2777	7106
1686	2779	7104
1687	2780	7103
1688	2782	7101
1689	2783	7099
1690	2785	7097
1691	2786	7095
1692	2788	7094
1693	2790	7092
1694	2791	7090
1695	2793	7088
1696	2794	7086
1697	2796	7083
1698	2797	7081
1699	2799	7080
1700	2800	7078
1701	2802	7076
1702	2803	7074
1703	2805	7072
1704	2806	7070
1705	2808	7069
1706	2810	7067
1707	2811	7065
1708	2813	7063
1709	2814	7061
1710	2816	7059
1711	2817	7057
1712	2819	7055
1713	2820	7053
1714	2822	7051
1715	2823	7049
1716	2825	7047
1717	2826	7045
1718	2828	7043
1719	2829	7041
1720	2831	7039
1721	2832	7037
